YM_ID|POLICE_AREA|GRP_DETAIL_CD|DRIVE_OVER|VIOLATION|SPEEDING|PEDESTRIAN|SAFEDRIVING|SAFETY|CROSSING|ETC|ETL_TYPE|ETL_DATE
201309|P04|9403|0|23|0|2|36|6|7|5|0601|2014-08-01 17:04:41
201309|P05|9402|0|0|0|0|0|0|0|0|0601|2014-08-01 17:04:41
201309|P06|9401|8|26|0|4|82|13|4|3|0601|2014-08-01 17:04:41
201309|P06|9403|14|45|0|4|125|22|7|4|0601|2014-08-01 17:04:41
201310|P02|9402|0|0|1|1|1|0|0|0|0601|2014-08-01 17:04:41
201310|P03|9401|12|16|0|5|47|16|1|6|0601|2014-08-01 17:04:41
201310|P03|9403|26|24|0|7|59|21|1|7|0601|2014-08-01 17:04:41
201310|P04|9402|1|0|0|0|2|0|0|0|0601|2014-08-01 17:04:41
201310|P05|9401|3|6|0|3|34|1|2|4|0601|2014-08-01 17:04:41
201310|P05|9403|6|8|0|3|43|2|3|4|0601|2014-08-01 17:04:41
201310|P06|9402|0|0|0|0|1|0|0|0|0601|2014-08-01 17:04:41
201311|P02|9401|8|12|1|3|53|10|4|7|0601|2014-08-01 17:04:41
201311|P02|9403|14|23|3|3|75|19|7|8|0601|2014-08-01 17:04:41
201311|P03|9402|0|0|1|0|0|0|0|0|0601|2014-08-01 17:04:41
201311|P04|9401|5|8|0|2|36|7|1|2|0601|2014-08-01 17:04:41
201311|P04|9403|8|8|0|2|62|12|3|3|0601|2014-08-01 17:04:41
201311|P05|9402|0|0|0|0|1|0|0|0|0601|2014-08-01 17:04:41
201311|P06|9401|9|29|0|10|95|18|8|9|0601|2014-08-01 17:04:41
201311|P06|9403|13|47|0|10|125|30|12|10|0601|2014-08-01 17:04:41
201312|P02|9402|0|0|0|0|0|0|0|0|0601|2014-08-01 17:04:41
201312|P03|9401|6|7|0|3|35|6|3|3|0601|2014-08-01 17:04:41
201312|P03|9403|13|12|0|3|54|12|4|3|0601|2014-08-01 17:04:41
201312|P04|9402|0|0|0|0|0|0|0|0|0601|2014-08-01 17:04:41
201312|P05|9401|4|8|0|5|39|1|4|1|0601|2014-08-01 17:04:41
201312|P05|9403|6|12|0|6|54|3|4|1|0601|2014-08-01 17:04:41
201312|P06|9402|0|1|0|0|2|1|0|0|0601|2014-08-01 17:04:41
201401|P02|9401|77|3|11|0|3|52|3|1|0601|2014-08-01 17:04:41
201401|P02|9403|106|4|14|0|4|68|7|2|0601|2014-08-01 17:04:41
201401|P03|9402|3|0|0|0|0|3|0|0|0601|2014-08-01 17:04:41
201401|P04|9401|46|2|8|1|2|28|0|2|0601|2014-08-01 17:04:41
201401|P04|9403|76|5|8|2|2|49|0|3|0601|2014-08-01 17:04:41
201401|P05|9402|3|0|0|0|1|1|0|1|0601|2014-08-01 17:04:41
201401|P06|9401|128|6|27|0|4|63|10|5|0601|2014-08-01 17:04:41
201401|P06|9403|211|11|50|0|5|94|16|9|0601|2014-08-01 17:04:41
201402|P02|9402|2|0|0|0|1|1|0|0|0601|2014-08-01 17:04:41
201402|P03|9401|64|4|3|0|3|32|6|6|0601|2014-08-01 17:04:41
