sido_code,sigungu_code,emd_code,week_type,velocity_CG_AVRG
11000,11010,1101053,weekday,19.12
11000,11010,1101054,weekday,18.28
11000,11010,1101055,weekday,19.05
11000,11010,1101056,weekday,18.53
11000,11010,1101057,weekday,12.86
11000,11010,1101058,weekday,20.39
11000,11010,1101060,weekday,18.1
11000,11010,1101061,weekday,15.91
11000,11010,1101063,weekday,15.1
11000,11010,1101064,weekday,13.56
11000,11010,1101067,weekday,14.88
11000,11010,1101069,weekday,16.44
11000,11010,1101070,weekday,16.75
11000,11010,1101071,weekday,13.73
11000,11010,1101072,weekday,16.4
11000,11010,1101073,weekday,15.72
11000,11020,1102052,weekday,15.41
11000,11020,1102054,weekday,15.35
11000,11020,1102055,weekday,14.65
11000,11020,1102057,weekday,14.87
11000,11020,1102058,weekday,13.76
11000,11020,1102059,weekday,14.46
11000,11020,1102060,weekday,15.24
11000,11020,1102065,weekday,13.23
11000,11020,1102067,weekday,13.29
11000,11020,1102068,weekday,14.21
11000,11020,1102069,weekday,13.86
11000,11020,1102070,weekday,12.16
11000,11020,1102071,weekday,16.01
11000,11020,1102072,weekday,15.14
11000,11020,1102073,weekday,17.25
11000,11030,1103051,weekday,18.46
11000,11030,1103052,weekday,17.51
11000,11030,1103053,weekday,15
11000,11030,1103057,weekday,20.94
11000,11030,1103058,weekday,16.11
11000,11030,1103059,weekday,12.95
11000,11030,1103063,weekday,18.68
11000,11030,1103064,weekday,22.03
11000,11030,1103065,weekday,17.05
11000,11030,1103066,weekday,18.77
11000,11030,1103069,weekday,20.91
11000,11030,1103070,weekday,17.84
11000,11030,1103071,weekday,15.87
11000,11030,1103072,weekday,15.87
11000,11030,1103073,weekday,14.98
11000,11030,1103074,weekday,17.51
11000,11040,1104052,weekday,17.01
11000,11040,1104054,weekday,17.62
11000,11040,1104055,weekday,21.67
11000,11040,1104056,weekday,15.14
11000,11040,1104057,weekday,16.54
11000,11040,1104058,weekday,18.35
11000,11040,1104059,weekday,14.11
11000,11040,1104062,weekday,18.26
11000,11040,1104065,weekday,25.6
11000,11040,1104066,weekday,20.7
11000,11040,1104067,weekday,21.99
11000,11040,1104068,weekday,14.56
11000,11040,1104069,weekday,23.13
11000,11040,1104070,weekday,18.77
11000,11040,1104071,weekday,15.35
11000,11040,1104072,weekday,15.22
11000,11040,1104073,weekday,17.4
11000,11050,1105053,weekday,15.37
11000,11050,1105054,weekday,17.97
11000,11050,1105055,weekday,23.89
11000,11050,1105056,weekday,16.91
11000,11050,1105057,weekday,21.92
11000,11050,1105058,weekday,16.39
11000,11050,1105059,weekday,13.82
11000,11050,1105060,weekday,18.46
11000,11050,1105061,weekday,16.58
11000,11050,1105062,weekday,22.51
11000,11050,1105063,weekday,24.09
11000,11050,1105064,weekday,14.82
11000,11050,1105065,weekday,28.14
11000,11050,1105066,weekday,20.43
11000,11050,1105067,weekday,29.6
11000,11060,1106071,weekday,15.61
11000,11060,1106072,weekday,22.15
11000,11060,1106073,weekday,15.97
11000,11060,1106080,weekday,18.42
11000,11060,1106081,weekday,17.47
11000,11060,1106082,weekday,16.12
11000,11060,1106083,weekday,16.51
11000,11060,1106084,weekday,15.29
11000,11060,1106086,weekday,15.95
11000,11060,1106087,weekday,18.68
11000,11060,1106088,weekday,15.65
11000,11060,1106089,weekday,16.9
11000,11060,1106090,weekday,16.95
11000,11060,1106091,weekday,15.08
11000,11070,1107052,weekday,19.92
11000,11070,1107054,weekday,16.1
11000,11070,1107055,weekday,26.43
11000,11070,1107057,weekday,16.3
11000,11070,1107059,weekday,18.43
11000,11070,1107060,weekday,19.84
11000,11070,1107061,weekday,17.59
11000,11070,1107062,weekday,19.9
11000,11070,1107064,weekday,18.25
11000,11070,1107065,weekday,20.35
11000,11070,1107068,weekday,14.62
11000,11070,1107069,weekday,25.44
11000,11070,1107070,weekday,16.87
11000,11070,1107071,weekday,14.32
11000,11070,1107072,weekday,13.7
