시도,시군구,읍면동,week_type,velocity_CG_AVRG
서울특별시,종로구,사직동,weekday,19.12
서울특별시,종로구,삼청동,weekday,18.28
서울특별시,종로구,부암동,weekday,19.05
서울특별시,종로구,평창동,weekday,18.53
서울특별시,종로구,무악동,weekday,12.86
서울특별시,종로구,교남동,weekday,20.39
서울특별시,종로구,가회동,weekday,18.1
서울특별시,종로구,종로1·2·3·4가동,weekday,15.91
서울특별시,종로구,종로5·6가동,weekday,15.1
서울특별시,종로구,이화동,weekday,13.56
서울특별시,종로구,창신1동,weekday,14.88
서울특별시,종로구,창신3동,weekday,16.44
서울특별시,종로구,숭인1동,weekday,16.75
서울특별시,종로구,숭인2동,weekday,13.73
서울특별시,종로구,청운효자동,weekday,16.4
서울특별시,종로구,혜화동,weekday,15.72
서울특별시,중구,소공동,weekday,15.41
서울특별시,중구,회현동,weekday,15.35
서울특별시,중구,명동,weekday,14.65
서울특별시,중구,필동,weekday,14.87
서울특별시,중구,장충동,weekday,13.76
서울특별시,중구,광희동,weekday,14.46
서울특별시,중구,을지로동,weekday,15.24
서울특별시,중구,신당5동,weekday,13.23
서울특별시,중구,황학동,weekday,13.29
서울특별시,중구,중림동,weekday,14.21
서울특별시,중구,신당동,weekday,13.86
서울특별시,중구,다산동,weekday,12.16
서울특별시,중구,약수동,weekday,16.01
서울특별시,중구,청구동,weekday,15.14
서울특별시,중구,동화동,weekday,17.25
서울특별시,용산구,후암동,weekday,18.46
서울특별시,용산구,용산2가동,weekday,17.51
서울특별시,용산구,남영동,weekday,15.0
서울특별시,용산구,원효로2동,weekday,20.94
서울특별시,용산구,효창동,weekday,16.11
서울특별시,용산구,용문동,weekday,12.95
서울특별시,용산구,이촌1동,weekday,18.68
서울특별시,용산구,이촌2동,weekday,22.03
서울특별시,용산구,이태원1동,weekday,17.05
서울특별시,용산구,이태원2동,weekday,18.77
서울특별시,용산구,서빙고동,weekday,20.91
서울특별시,용산구,보광동,weekday,17.84
서울특별시,용산구,청파동,weekday,15.87
서울특별시,용산구,원효로1동,weekday,15.87
서울특별시,용산구,한강로동,weekday,14.98
서울특별시,용산구,한남동,weekday,17.51
서울특별시,성동구,왕십리2동,weekday,17.01
서울특별시,성동구,마장동,weekday,17.62
서울특별시,성동구,사근동,weekday,21.67
서울특별시,성동구,행당1동,weekday,15.14
서울특별시,성동구,행당2동,weekday,16.54
서울특별시,성동구,응봉동,weekday,18.35
서울특별시,성동구,금호1가동,weekday,14.11
서울특별시,성동구,금호4가동,weekday,18.26
서울특별시,성동구,성수1가1동,weekday,25.6
서울특별시,성동구,성수1가2동,weekday,20.7
서울특별시,성동구,성수2가1동,weekday,21.99
서울특별시,성동구,성수2가3동,weekday,14.56
서울특별시,성동구,송정동,weekday,23.13
서울특별시,성동구,용답동,weekday,18.77
서울특별시,성동구,왕십리도선동,weekday,15.35
